t,J_full,J_red,Q_outer_full,Q_outer_red,M_full,M_red,mass_bulk_full,mass_coating_full,mass_red,balance_normalized_full,balance_normalized_red,robin_flux_mismatch_red
0.852,1.6812990443642248,1.6237485599666202,1.8836413584981435,1.8248475663366348,2.265492520875931,2.1809342574319097,0.20315459607165234,0.0067723046073941365,0.2018962797984923,1.6871648064275806e-15,2.897467850091066e-15,1.554312234475219e-14
0.853,1.6796250112597197,1.6221317330718381,1.8817674217782718,1.82303203692913,2.2671721458871907,2.1825563891649815,0.2029524536611336,0.006765550187931378,0.2016953794946357,9.292334661273886e-16,2.816616156423025e-15,1.554312234475219e-14
0.854,1.6779526338217705,1.6205165055096578,1.8798953359119666,1.821218300922644,2.2688500985210127,2.1841769056704914,0.2027505109590448,0.006758802481666162,0.20149467769922186,1.0704208865739359e-15,7.924859591414837e-16,-4.440892098500626e-16
0.855,1.6762819104302482,1.618902875714582,1.8780250990930376,1.819406356566546,2.270526380431443,2.185795808546206,0.2025487677703815,0.00675206148196348,0.2012941742183701,5.468277810952694e-16,7.795454318600832e-15,2.6201263381153694e-14
0.856,1.6746128394666309,1.6172908421227294,1.8761567095169525,1.8175962021118661,2.2722009932709097,2.187413099388329,0.20234722390033014,0.006745327182194845,0.20109386885838132,1.0281723778728844e-15,7.42145573011345e-15,-1.9539925233402755e-14
0.857,1.6729454193139175,1.6156804031715302,1.8742901653809345,1.815787835811352,2.273873938690224,2.1890287797915007,0.20214587915426252,0.006738599575738117,0.2008937614257416,3.228270411896081e-15,7.489989625126638e-16,9.103828801926284e-15
0.858,1.6712796483566328,1.6140715573000883,1.8724254648839311,1.8139812559193542,2.2755452183385803,2.1906428513488008,0.20194473333773605,0.006731878655977812,0.20069385172712265,1.4156277624951417e-15,3.4197548237338967e-15,1.8207657603852567e-14
0.859,1.6696155249808906,1.6124643029489247,1.8705626062265683,1.812176460691903,2.277214833863561,2.19225531565175,0.2017437862564911,0.00672516441630478,0.20049413956938028,1.624770814831123e-15,5.559764276281645e-15,1.6653345369377348e-14
0.86,1.6679530475743438,1.610858638560077,1.8687015876112003,1.8103734483867044,2.2788827869111357,2.19386617429031,0.20154303771645388,0.006718456850116411,0.20029462475955162,1.6858003724398372e-15,2.2997113363844635e-16,-3.3306690738754696e-15
0.861,1.6662922145261503,1.6092545625769967,1.866842407241946,1.8085722172631358,2.2805490791256617,2.195475428852887,0.201342487523737,0.006711755950816415,0.20009530710486567,6.095740035828864e-16,1.0903814780892087e-14,3.5083047578154947e-14
0.862,1.664633024227065,1.6076520734448032,1.8649850633245613,1.806772765582207,2.282213712149889,2.197083080926332,0.20114213548464058,0.006705061711815135,0.19989618641272994,1.0120076449825751e-15,5.223067277236122e-16,-8.881784197001252e-16
0.863,1.662975475069352,1.606051169609898,1.8631295540665516,1.804975091606587,2.283876687624958,2.198689132095942,0.2009419814056436,0.006698374126529242,0.19969726249073172,1.3854476875317113e-15,6.765995457591922e-16,6.439293542825908e-15
